# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 260:         5.180       52.099       0.19  De Bilt
# 
# YYYYMMDD = Date (YYYY=year MM=month DD=day); 
# TN       = Minimum temperature (in 0.1 degrees Celsius); 
# TG       = Daily mean temperature in (0.1 degrees Celsius); 
# TX       = Maximum temperature (in 0.1 degrees Celsius); 
# 
# STN,YYYYMMDD,   TN,   TG,   TX
# 
  260,20180101,   52,   68,   88
  260,20180102,   45,   65,   91
  260,20180103,   54,   88,  112
  260,20180104,   68,   82,  107
  260,20180105,   44,   64,   87
  260,20180106,   22,   45,   66
  260,20180107,  -12,   10,   31
  260,20180108,  -14,   11,   39
  260,20180109,   -2,   30,   61
  260,20180110,   58,   69,   76
  260,20180111,   28,   57,   76
  260,20180112,   41,   50,   59
  260,20180113,   12,   42,   62
  260,20180114,    8,   29,   52
  260,20180115,   17,   52,   80
  260,20180116,   25,   52,   69
  260,20180117,   20,   46,   60
  260,20180118,    5,   47,  102
  260,20180119,   14,   37,   69
  260,20180120,    8,   22,   36
  260,20180121,   -4,   30,   69
  260,20180122,   20,   63,   84
  260,20180123,   46,   81,  112
  260,20180124,   73,  117,  144
  260,20180125,   50,   77,   92
  260,20180126,   25,   54,   86
  260,20180127,   44,   58,   72
  260,20180128,   69,   97,  108
  260,20180129,   46,   88,  107
  260,20180130,   21,   47,   74
  260,20180131,   32,   65,   95
  260,20180201,   19,   34,   61
  260,20180202,   -5,   44,   68
  260,20180203,   -4,   20,   46
  260,20180204,   -4,   17,   36
  260,20180205,  -21,   10,   34
  260,20180206,  -46,  -21,   20
  260,20180207,  -68,  -22,   19
  260,20180208,  -25,   10,   47
  260,20180209,   -9,    6,   22
  260,20180210,    2,   29,   70
  260,20180211,   21,   45,   73
  260,20180212,    7,   30,   63
  260,20180213,  -12,   20,   63
  260,20180214,  -22,   19,   55
  260,20180215,    5,   43,   99
  260,20180216,  -21,   32,   87
  260,20180217,  -36,    9,   76
  260,20180218,  -49,    7,   73
  260,20180219,  -25,   12,   34
  260,20180220,  -38,    8,   46
  260,20180221,  -39,    3,   47
  260,20180222,  -30,    2,   50
  260,20180223,  -38,   -5,   35
  260,20180224,  -34,   -4,   33
  260,20180225,  -49,  -22,   11
  260,20180226,  -59,  -33,    0
  260,20180227,  -64,  -36,    2
  260,20180228,  -85,  -66,  -46
  260,20180301,  -83,  -47,   -7
  260,20180302,  -72,  -37,   -5
  260,20180303,  -45,  -17,   12
  260,20180304,  -22,   50,  113
  260,20180305,   32,   66,  120
  260,20180306,   10,   56,  101
  260,20180307,    8,   59,   95
  260,20180308,   12,   48,   83
  260,20180309,   29,   65,   97
  260,20180310,   71,  114,  151
  260,20180311,   71,  102,  139
  260,20180312,   74,  103,  143
  260,20180313,   37,   56,   89
  260,20180314,   -4,   58,  111
  260,20180315,   36,   73,  107
  260,20180316,    0,   38,   62
  260,20180317,  -26,  -14,    0
  260,20180318,  -30,  -10,   12
  260,20180319,  -39,   -2,   47
  260,20180320,  -13,   38,   79
  260,20180321,  -36,   36,   80
  260,20180322,   41,   64,   99
  260,20180323,   52,   62,   73
  260,20180324,    0,   65,  125
  260,20180325,  -18,   54,  123
  260,20180326,    0,   47,  112
  260,20180327,    7,   56,   98
  260,20180328,   28,   59,   78
  260,20180329,   36,   65,  107
  260,20180330,   52,   90,  135
  260,20180331,   25,   72,  124
  260,20180401,    6,   48,   77
  260,20180402,    4,   77,  121
  260,20180403,   91,  127,  170
  260,20180404,   78,  103,  147
  260,20180405,    1,   59,   99
  260,20180406,    0,   88,  147
  260,20180407,   86,  139,  216
  260,20180408,   77,  152,  234
  260,20180409,   92,  126,  175
  260,20180410,   95,  155,  200
  260,20180411,   85,  127,  175
  260,20180412,   65,  104,  146
  260,20180413,   38,  100,  144
  260,20180414,   69,  115,  161
  260,20180415,   94,  127,  172
  260,20180416,   51,  114,  161
  260,20180417,   47,  128,  203
  260,20180418,   69,  163,  235
